source_run,trial_id,weight_precision,act,kv,fp_setting,status,accuracy,correct,total,format_error_count,raw_output_count,runtime_sec,gpu,parallel_mode,model_lifecycle,trial_weight_reuse,visible_gpus,model_parallel,decode_weight_residency,gptq_cache_mode,gptq_cache_key,gptq_cache_hit,gptq_cache_path,proxy_cost,weight_bits_proxy,act_bits_proxy,kv_bits_proxy,fp_bits_proxy,server_port,returncode,log_dir,error_message
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_8__fp-FP_E8M5__041391e8,MXINT_8,MXINT_2,MXINT_8,FP_E8M5,success,0.0,0,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,2,8,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_8__fp-FP_E8M5__041391e8,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_2__fp-FP_E8M5__61a94c92,MXINT_8,MXINT_4,MXINT_2,FP_E8M5,success,0.06,3,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,20,,4,2,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_2__fp-FP_E8M5__61a94c92,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_4__fp-FP_E8M5__bf527057,MXINT_8,MXINT_4,MXINT_4,FP_E8M5,success,0.98,49,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,4,4,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_4__fp-FP_E8M5__bf527057,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_8__fp-FP_E8M5__998a46c2,MXINT_8,MXINT_4,MXINT_8,FP_E8M5,success,0.94,47,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,26,,4,8,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_8__fp-FP_E8M5__998a46c2,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_2__fp-FP_E8M5__d399b61d,MXINT_8,MXINT_8,MXINT_2,FP_E8M5,success,0.22,11,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,8,2,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_2__fp-FP_E8M5__d399b61d,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_4__fp-FP_E8M5__aff39b30,MXINT_8,MXINT_8,MXINT_4,FP_E8M5,success,0.9,45,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,26,,8,4,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_4__fp-FP_E8M5__aff39b30,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_8__fp-FP_E8M5__bbbe7dc5,MXINT_8,MXINT_8,MXINT_8,FP_E8M5,success,0.9,45,50,0,50,225.95,7,multiworker,persistent,True,7,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,30,,8,8,14,9005,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_8__fp-FP_E8M5__bbbe7dc5,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_2__fp-FP_E5M6__46880e4b,MXINT_8,MXINT_2,MXINT_2,FP_E5M6,success,0.0,0,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,2,2,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_2__fp-FP_E5M6__46880e4b,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_4__fp-FP_E5M6__db27d80b,MXINT_8,MXINT_2,MXINT_4,FP_E5M6,success,0.0,0,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,2,4,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_4__fp-FP_E5M6__db27d80b,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_8__fp-FP_E5M6__ee83e70b,MXINT_8,MXINT_2,MXINT_8,FP_E5M6,success,0.0,0,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,2,8,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_8__fp-FP_E5M6__ee83e70b,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_2__fp-FP_E5M6__567d60dc,MXINT_8,MXINT_4,MXINT_2,FP_E5M6,success,0.1,5,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,4,2,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_2__fp-FP_E5M6__567d60dc,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_4__fp-FP_E5M6__60d8bc18,MXINT_8,MXINT_4,MXINT_4,FP_E5M6,success,0.96,48,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,20,,4,4,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_4__fp-FP_E5M6__60d8bc18,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_8__fp-FP_E5M6__af203a4d,MXINT_8,MXINT_4,MXINT_8,FP_E5M6,success,0.94,47,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,4,8,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_8__fp-FP_E5M6__af203a4d,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_2__fp-FP_E5M6__5b6f11aa,MXINT_8,MXINT_8,MXINT_2,FP_E5M6,success,0.26,13,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,8,2,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_2__fp-FP_E5M6__5b6f11aa,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_4__fp-FP_E5M6__b9ea31e0,MXINT_8,MXINT_8,MXINT_4,FP_E5M6,success,0.96,48,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,24,,8,4,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_4__fp-FP_E5M6__b9ea31e0,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_8__fp-FP_E5M6__9a83df15,MXINT_8,MXINT_8,MXINT_8,FP_E5M6,success,0.9,45,50,0,50,230.51,5,multiworker,persistent,True,5,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,28,,8,8,12,9003,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_8__fp-FP_E5M6__9a83df15,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_2__fp-FP_E2M3__6ca5ff6e,MXINT_8,MXINT_2,MXINT_2,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,10,,2,2,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_2__fp-FP_E2M3__6ca5ff6e,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_4__fp-FP_E2M3__6a847e27,MXINT_8,MXINT_2,MXINT_4,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,12,,2,4,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_4__fp-FP_E2M3__6a847e27,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_8__fp-FP_E2M3__67dd43fe,MXINT_8,MXINT_2,MXINT_8,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,2,8,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_8__fp-FP_E2M3__67dd43fe,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_2__fp-FP_E2M3__73ecfcf6,MXINT_8,MXINT_4,MXINT_2,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,12,,4,2,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_2__fp-FP_E2M3__73ecfcf6,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_4__fp-FP_E2M3__3a1c8ebb,MXINT_8,MXINT_4,MXINT_4,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,14,,4,4,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_4__fp-FP_E2M3__3a1c8ebb,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_8__fp-FP_E2M3__c29ae55e,MXINT_8,MXINT_4,MXINT_8,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,4,8,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_8__fp-FP_E2M3__c29ae55e,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_2__fp-FP_E2M3__27136d61,MXINT_8,MXINT_8,MXINT_2,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,8,2,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_2__fp-FP_E2M3__27136d61,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_4__fp-FP_E2M3__65e79021,MXINT_8,MXINT_8,MXINT_4,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,8,4,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_4__fp-FP_E2M3__65e79021,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_8__fp-FP_E2M3__6269820b,MXINT_8,MXINT_8,MXINT_8,FP_E2M3,success,0.0,0,50,0,50,256.90,3,multiworker,persistent,True,3,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,8,8,6,9001,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_8__fp-FP_E2M3__6269820b,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_2__fp-FP_E3M2__027f1d91,MXINT_8,MXINT_2,MXINT_2,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,10,,2,2,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_2__fp-FP_E3M2__027f1d91,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_4__fp-FP_E3M2__a22b7686,MXINT_8,MXINT_2,MXINT_4,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,12,,2,4,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_4__fp-FP_E3M2__a22b7686,
qwen3_32b_w8_mxint_only,act-MXINT_2__kv-MXINT_8__fp-FP_E3M2__9a984c6b,MXINT_8,MXINT_2,MXINT_8,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,2,8,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_2__kv-MXINT_8__fp-FP_E3M2__9a984c6b,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_2__fp-FP_E3M2__9c3a8163,MXINT_8,MXINT_4,MXINT_2,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,12,,4,2,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_2__fp-FP_E3M2__9c3a8163,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_4__fp-FP_E3M2__74f7246d,MXINT_8,MXINT_4,MXINT_4,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,14,,4,4,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_4__fp-FP_E3M2__74f7246d,
qwen3_32b_w8_mxint_only,act-MXINT_4__kv-MXINT_8__fp-FP_E3M2__1ea44115,MXINT_8,MXINT_4,MXINT_8,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,4,8,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_4__kv-MXINT_8__fp-FP_E3M2__1ea44115,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_2__fp-FP_E3M2__a8db1149,MXINT_8,MXINT_8,MXINT_2,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,16,,8,2,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_2__fp-FP_E3M2__a8db1149,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_4__fp-FP_E3M2__782c19d8,MXINT_8,MXINT_8,MXINT_4,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,18,,8,4,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_4__fp-FP_E3M2__782c19d8,
qwen3_32b_w8_mxint_only,act-MXINT_8__kv-MXINT_8__fp-FP_E3M2__a0d576a3,MXINT_8,MXINT_8,MXINT_8,FP_E3M2,success,0.0,0,50,0,50,258.00,2,multiworker,persistent,True,2,False,gpu_dual,require,f096a0ba5e5a62f3,True,/data/models/yh3525/gptq_cache_qwen3_32b/f096a0ba5e5a62f3,22,,8,8,6,9000,0,/home/yh3525/FYP/PLENA_Software/prefill_DSE/runs/qwen3_32b_bruteforce_bs25_tok1024_limit50_20260617_160519/trials/act-MXINT_8__kv-MXINT_8__fp-FP_E3M2__a0d576a3,
